"","X","schlcode","c_size","c_boys","c_girls","c_numcl","c_pik","c_status","c_leom","c_tip","c_num5rd","c_type","flgrm5","mrkgrm5","ngrm5","flmth5","mrkmth5","nmth5","towncode","popcode","tip_a","grade","classid","classize","X_type_","X_freq_","cohsize","mathsize","avgmath","passmath","verbsize","avgverb","passverb","studchk","misskov2","missagg","nmiss_k","nmiss_a","classct","math_n","flmath_n","nmath_n","verb_n","flverb_n","nverb_n","impute","nverb_m","nmath_m","tip_s","townid","tipuach"
"147",147,11220,138,81,57,24,1,1,1,1,4,4,17.8899993896484,81,123,16,73,125,30007,11,4,5,3,34,0,4,138,31,72.6800003051758,25.7999992370605,30,84.5699996948242,20,1,0,0,0,0,4,73.394401550293,15.9904003143311,125,80.6669082641602,17.8764228820801,123,0,NA,NA,4,30007,4
"148",148,11220,138,81,57,24,1,1,1,1,4,4,17.8899993896484,81,123,16,73,125,30007,11,4,5,4,34,0,4,138,32,79.9100036621094,3.09999990463257,32,83.0599975585938,15.6000003814697,1,0,0,0,0,4,73.394401550293,15.9904003143311,125,80.6669082641602,17.8764228820801,123,0,NA,NA,4,30007,4
"149",149,11221,94,56,38,19,2,1,1,2,2,2,20.4799995422363,78,83,17.8600006103516,75,84,30007,12,11,5,1,38,0,2,84,38,71.370002746582,15.8000001907349,38,79.6600036621094,21.1000003814697,1,0,0,0,0,2,74.0508193969727,16.4032783508301,61,79.147216796875,16.4245910644531,61,0,NA,NA,11,30007,11
"151",151,11222,75,29,46,20,2,1,1,NA,3,3,21.7399997711182,75,69,25.7099990844727,67,70,30007,12,3,5,1,26,0,3,75,24,67.7099990844727,29.2000007629395,24,79.4199981689453,8.30000019073486,1,0,0,0,0,3,66.931282043457,25.7171421051025,70,75.2931900024414,21.7246379852295,69,0,NA,NA,3,30007,3
"152",152,11222,75,29,46,20,2,1,1,NA,3,3,21.7399997711182,75,69,25.7099990844727,67,70,30007,12,3,5,2,25,0,3,75,23,67.4800033569336,17.3999996185303,23,75.8300018310547,30.3999996185303,1,0,0,0,0,3,66.931282043457,25.7171421051025,70,75.2931900024414,21.7246379852295,69,0,NA,NA,3,30007,3
"153",153,11222,75,29,46,20,2,1,1,NA,3,3,21.7399997711182,75,69,25.7099990844727,67,70,30007,12,3,5,3,24,0,3,75,23,65.5699996948242,30.3999996185303,22,70.2300033569336,27.2999992370605,1,0,0,0,0,3,66.931282043457,25.7171421051025,70,75.2931900024414,21.7246379852295,69,0,NA,NA,3,30007,3
"154",154,11225,70,25,45,18,2,1,1,1,2,2,15.3800001144409,80,65,44.6199989318848,67,65,36509,12,2,5,1,25,0,2,70,22,74.2699966430664,31.7999992370605,22,77.2300033569336,13.6000003814697,1,0,0,1,0,2,74.2699966430664,31.7999992370605,22,77.2300033569336,13.6000003814697,22,0,NA,NA,2,36509,2
"156",156,11227,114,55,59,22,1,1,1,1,4,3,12.1199998855591,79,99,20.2000007629395,67,99,37309,11,0,5,1,33,0,3,102,31,66.7099990844727,19.3999996185303,31,81.3899993896484,6.5,1,0,0,1,0,3,67.797966003418,18.78125,64,79.8431243896484,10.9859371185303,64,0,NA,NA,2,37309,0
"157",157,11227,114,55,59,22,1,1,1,1,4,3,12.1199998855591,79,99,20.2000007629395,67,99,37309,11,0,5,2,34,0,3,102,33,68.8199996948242,18.2000007629395,33,78.3899993896484,15.1999998092651,1,0,0,1,0,3,67.797966003418,18.78125,64,79.8431243896484,10.9859371185303,64,0,NA,NA,2,37309,0
"158",158,11227,114,55,59,22,1,1,1,1,4,3,12.1199998855591,79,99,20.2000007629395,67,99,37309,11,0,5,3,35,0,3,102,35,65.5408554077148,22.7942848205566,35,77.4582824707031,14.1937141418457,NA,1,0,1,0,3,67.797966003418,18.78125,64,79.8431243896484,10.9859371185303,64,1,35,35,2,37309,0
"159",159,11228,39,18,21,11,2,1,1,2,1,1,16.6700000762939,73,36,22.2199993133545,68,36,30007,12,19,5,1,39,0,1,39,36,68.0299987792969,22.2000007629395,36,73.1100006103516,16.7000007629395,1,0,0,0,0,1,68.0299987792969,22.2000007629395,36,73.1100006103516,16.7000007629395,36,0,NA,NA,19,30007,19
"160",160,11233,53,30,23,17,2,2,1,NA,2,2,21.7399997711182,75,46,41.2999992370605,63,46,26104,12,11,5,1,28,0,2,53,25,64.0800018310547,36,25,76.4000015258789,24,1,0,0,0,0,2,62.6282615661621,41.2956504821777,46,74.8934783935547,21.7173919677734,46,0,NA,NA,11,26104,11
"161",161,11233,53,30,23,17,2,2,1,NA,2,2,21.7399997711182,75,46,41.2999992370605,63,46,26104,12,11,5,2,25,0,2,53,21,60.9000015258789,47.5999984741211,21,73.0999984741211,19,1,0,0,0,0,2,62.6282615661621,41.2956504821777,46,74.8934783935547,21.7173919677734,46,0,NA,NA,11,26104,11
"162",162,11234,214,109,105,20,1,2,1,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,34,0,5,170,37,65.5400009155273,21.6000003814697,37,74.1100006103516,18.8999996185303,1,0,1,1,5,5,69.3056640625,16.6620006561279,150,75.9945068359375,18.5344371795654,151,0,NA,NA,10,10157,10
"163",163,11234,214,109,105,20,1,2,1,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,34,0,5,170,39,72.7900009155273,17.8999996185303,39,75,25.6000003814697,1,0,1,1,5,5,69.3056640625,16.6620006561279,150,75.9945068359375,18.5344371795654,151,0,NA,NA,10,10157,10
"164",164,11234,214,109,105,20,1,2,1,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,34,0,5,170,36,65.4700012207031,13.8999996185303,35,78.0599975585938,8.60000038146973,1,0,1,1,5,5,69.3056640625,16.6620006561279,150,75.9945068359375,18.5344371795654,151,0,NA,NA,10,10157,10
"165",165,11234,214,109,105,20,1,2,1,NA,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,34,0,5,170,38,73.0299987792969,13.1999998092651,40,76.9000015258789,20,1,0,1,1,5,5,69.3056640625,16.6620006561279,150,75.9945068359375,18.5344371795654,151,0,NA,NA,10,10157,10
